year	country_and_area	trade_count
1999	Canada	655
1999	Fiji	175
1999	Ghana	55
1999	United Republic of Tanzania	44
1999	Togo	32
1999	Madagascar	28
1999	Nicaragua	27
1999	Sudan	25
1999	Mali	24
1999	El Salvador	20
1999	Bangladesh	14
1999	Bosnia and Herzegovina	13
1999	Namibia	11
1999	Tonga	10
1999	Solomon Islands	9
1999	Nepal	9
1999	Honduras	9
1999	Zimbabwe	7
1999	Montenegro	6
1999	Barbados	5
1999	Belize	5
1999	Benin	5
1999	Papua New Guinea	5
1999	Gabon	5
1999	Jamaica	5
1999	Mauritius	5
1999	Republic of Moldova	4
1999	Maldives	4
1999	Albania	3
1999	Grenada	3
1999	Senegal	3
1999	Uganda	3
1999	Monaco	3
1999	Niger	2
1999	North Macedonia	2
1999	Cambodia	2
1999	Angola	2
1999	Mozambique	1
1999	Myanmar	1
1999	Guinea	1
1999	Democratic Republic of the Congo	1
1999	Palau	1
1999	Burundi	1
1999	Saint Vincent and the Grenadines	1
1999	Samoa	1
1999	Sao Tome and Principe	1
1999	Botswana	1
1999	Somalia	1
1999	Bolivia (Plurinational State of)	1
1999	Suriname	1
1999	Syrian Arab Republic	1
1999	Armenia	1
1999	Antigua and Barbuda	1
1999	Vanuatu	1
1999	Yemen	1
