year	name	trade_count
1999	Astrophytum myriostigma	211
1999	Hydnophora rigida	191
1999	Centrochelys sulcata	146
1999	Pachycereus pringlei	87
1999	Mammillaria formosa	51
1999	Agapornis personatus	47
1999	Chelonia mydas	41
1999	Cleistocactus smaragdiflorus	38
1999	Trioceros jacksonii	34
1999	Melocactus levitestatus	31
1999	Parodia rudibuenekeri	31
1999	Ramphastos sulfuratus	23
1999	Mammillaria carmenae	21
1999	Mustela sibirica	16
1999	Poicephalus cryptoxanthus	16
1999	Gymnocalycium eurypleurum	15
1999	Thelocactus hexaedrophorus	15
1999	Mammillaria glassii	12
1999	Phelsuma flavigularis	12
1999	Acanthastrea lordhowensis	9
1999	Mammillaria thornberi	9
1999	Forpus coelestis	8
1999	Nardostachys grandiflora	8
1999	Cebus capucinus	7
1999	Millepora exaesa	7
1999	Montipora spongodes	7
1999	Phocoena phocoena	7
1999	Mandrillus sphinx	6
1999	Alisterus scapularis	5
1999	Lorius lory	5
1999	Mantella crocea	5
1999	Polytelis alexandrae	5
1999	Prionailurus viverrinus	4
1999	Barkeria lindleyana	3
1999	Cyrtorchis arcuata	3
1999	Encyclia chacaoensis	3
1999	Encyclia triangulifera	3
1999	Epidendrum ibaguense	3
1999	Euphorbia hofstaetteri	3
1999	Laelia tenebrosa	3
1999	Oncidium phalaenopsis	3
1999	Phyllobates vittatus	3
1999	Varanus glauerti	3
1999	Acropora kimbeensis	2
1999	Aeranthes antennophora	2
1999	Calanthe tricarinata	2
1999	Capra hircus aegagrus	2
1999	Chaubardia heteroclita	2
1999	Cirrhipathes anguina	2
1999	Encyclia megalantha	2
1999	Euphorbia mangokyensis	2
1999	Falco femoralis	2
1999	Gymnocalycium spegazzinii	2
1999	Masdevallia cardiantha	2
1999	Masdevallia persicina	2
1999	Neocogniauxia monophylla	2
1999	Orchis mascula	2
1999	Paphiopedilum victoria-regina	2
1999	Parodia tuberculata	2
1999	Pavo muticus	2
1999	Phalaenopsis mariae	2
1999	Phelsuma ornata	2
1999	Ptiloris magnificus	2
1999	Rhynchostele bictoniensis	2
1999	Scaphosepalum ovulare	2
1999	Symphalangus syndactylus	2
1999	Aloe petricola	1
1999	Alsophila dregei	1
1999	Arctocephalus forsteri	1
1999	Basilinna leucotis	1
1999	Bulbophyllum cumingii	1
1999	Campylocentrum micranthum	1
1999	Catasetum saccatum	1
1999	Cattleya dormaniana	1
1999	Cercopithecus solatus	1
1999	Cheirogaleus sibreei	1
1999	Coelia bella	1
1999	Coelogyne xyrekes	1
1999	Cycas calcicola	1
1999	Dalbergia louvelii	1
1999	Disocactus nelsonii	1
1999	Encyclia nematocaulon	1
1999	Epidendrum atacazoicum	1
1999	Euphorbia berorohae	1
1999	Euphorbia capsaintemariensis	1
1999	Euphorbia geroldii	1
1999	Euphorbia mahafalensis	1
1999	Euphorbia samburuensis	1
1999	Ferocactus robustus	1
1999	Gymnocalycium uebelmannianum	1
1999	Laelia flava	1
1999	Lepilemur microdon	1
1999	Mammillaria tonalensis	1
1999	Marojejya darianii	1
1999	Masdevallia sanctae-inesae	1
1999	Neolloydia conoidea	1
1999	Ortalis vetula	1
1999	Pleione speciosa	1
1999	Restrepia nittiorhyncha	1
1999	Scotopelia bouvieri	1
1999	Spizaetus tyrannus	1
1999	Summerhayesia laurentii	1
