ISO,total_amt_paid
BZ,60
BT,60
BI,60
CA,60
CF,60
KM,60
DJ,60
DM,60
ER,60
GM,60
GD,60
GW,60
LS,60
LR,60
PW,60
KN,60
LC,60
VC,60
WS,60
ST,60
SL,60
SB,60
SO,60
TO,60
VU,60
AG,121
GY,121
KG,121
MW,121
MR,121
NE,121
SM,121
SC,121
SZ,121
TG,121
BJ,181
BF,181
FJ,181
GN,181
MD,181
RW,181
TD,241
MG,241
ML,241
MV,241
ME,241
MZ,241
TJ,241
LA,302
MN,302
NI,302
SR,302
ZW,302
CV,362
CG,362
AF,422
AM,422
BB,422
NP,422
SN,422
MK,422
AL,483
GE,483
JM,483
UG,483
HN,543
LI,543
NA,543
ZM,543
AO,603
BD,603
CD,603
ET,603
MM,603
PG,603
SD,603
TZ,603
YE,603
MU,664
MC,664
SY,664
BA,724
SV,724
KH,784
CI,784
BW,845
GA,905
GH,905
BO,965
GQ,965
PY,965
MT,1026
BS,1086
JO,1267
KE,1448
BN,1508
TN,1508
IS,1689
RS,1689
LY,1810
UZ,1931
CY,2172
GT,2172
EE,2353
TT,2413
LK,2655
PA,2715
BG,2775
LV,2836
LB,2836
AZ,2956
BY,2956
BH,3017
DO,3198
MA,3318
UA,3439
CR,3741
LU,4042
LT,4284
SI,4585
HR,4646
VN,4646
CU,4827
EC,4827
UY,5249
OM,6939
PK,6939
IQ,7783
DZ,8326
PE,9171
SK,9231
KZ,10740
EG,11222
RO,11946
PH,12369
HU,12429
NG,15084
KW,15204
ZA,16411
QA,17015
CO,17377
NZ,17558
TH,18523
CZ,18764
MY,20574
PT,21117
GR,22083
IE,22384
IR,24013
CL,24556
FI,25401
SG,29263
IL,29564
ID,32762
DK,33426
AE,37167
AT,40847
VE,43924
NO,45493
PL,48389
BE,49535
IN,50320
SE,54664
AR,55207
CH,69446
SA,70713
MX,77953
NL,81815
TR,82720
ES,129480
AU,133341
KR,136780
RU,145106
EU,155713
CM,164957
BR,177868
IT,199529
FR,267104
GB,275551
DE,367442
JP,516711
CN,724325
US,1370274
